datetime,user_id,count,event,score
2020-01-01 00:36:40,USER3283,8500,event1,74.2509342271
2020-01-01 00:51:37,USER9282,4000,event1,40.6544783817
2020-01-01 01:47:23,USER4308,6000,event1,27.8305633443
2020-01-01 01:48:48,USER4689,3000,event2,-7.1337264404
2020-01-01 02:51:10,USER8153,1500,event3,83.9677432608
2020-01-01 04:26:35,USER3047,9000,event3,29.0219670632
2020-01-01 04:30:42,USER7271,4500,event2,51.0736046024
2020-01-01 05:34:29,USER4375,10000,event3,79.9324975326
2020-01-01 06:47:04,USER4966,6500,event3,35.8533484409
2020-01-01 07:12:16,USER6654,8500,event3,32.6440203124
2020-01-01 09:19:57,USER1822,4500,event1,-8.2958157677
2020-01-01 10:05:11,USER8191,500,event1,27.3175517496
2020-01-01 10:44:00,USER5851,6000,event1,44.9988410953
2020-01-01 11:30:11,USER8704,9000,event3,80.5975836705
2020-01-01 15:02:08,USER5364,0,event1,-7.948642851
2020-01-01 15:14:54,USER0033,7500,event3,69.0481681333
2020-01-01 16:46:32,USER6582,6500,event3,70.7988539144
2020-01-01 23:48:05,USER5640,1000,event3,22.648655946
2020-01-02 01:00:14,USER7645,0,event3,26.607450729
2020-01-02 01:22:02,USER8044,9500,event3,15.2022410559
2020-01-02 03:25:51,USER7423,3500,event3,86.8758465586
2020-01-02 05:32:58,USER4198,1000,event3,41.0754723197
2020-01-02 06:28:01,USER6790,1500,event3,60.1326940723
2020-01-02 07:22:31,USER9646,8500,event1,83.8473190131
2020-01-02 09:32:55,USER6448,3000,event3,14.4137500963
2020-01-02 09:47:44,USER3037,7500,event3,65.1078678193
2020-01-02 11:29:05,USER1855,6500,event3,78.7935484562
2020-01-02 12:46:05,USER4869,4000,event3,-4.8109292815
2020-01-02 13:53:34,USER7586,4000,event3,42.7799408117
2020-01-02 18:28:06,USER8691,5000,event3,61.8720160343
2020-01-02 19:36:53,USER9387,4000,event3,28.5939781028
2020-01-02 21:16:58,USER3070,1500,event2,3.0232527694
2020-01-02 21:58:32,USER2117,6000,event3,79.7144780873
2020-01-03 00:14:48,USER0873,7000,event3,6.3228425497
2020-01-03 02:23:48,USER8290,9000,event3,35.3156050393
2020-01-03 02:40:30,USER6832,1000,event3,9.0753329771
2020-01-03 02:57:00,USER6750,2500,event1,18.6368332364
2020-01-03 03:10:50,USER3206,2000,event3,15.9855763245
2020-01-03 03:51:42,USER2168,9500,event2,72.7410449318
2020-01-03 08:57:01,USER9245,5000,event3,17.0097609921
2020-01-03 09:33:35,USER5958,8500,event3,4.5187773986
2020-01-03 13:42:10,USER0354,1500,event3,61.5626553477
2020-01-03 14:47:42,USER9209,5000,event2,52.1234796082
2020-01-03 15:55:03,USER6031,3500,event3,17.2089378125
2020-01-03 16:47:32,USER3877,2500,event2,55.7992437044
2020-01-03 17:30:34,USER1521,7000,event3,47.1232826971
2020-01-03 20:30:40,USER6655,7000,event3,9.2455790359
2020-01-03 20:32:31,USER7453,3000,event3,79.1467121192
2020-01-03 22:29:32,USER8921,2000,event3,55.5799002501
2020-01-04 01:27:38,USER6177,0,event3,81.7169542815
2020-01-04 02:19:25,USER3969,7000,event2,45.9227937476
2020-01-04 02:49:47,USER9774,7500,event3,-2.0694792701
2020-01-04 02:55:58,USER9319,1500,event3,58.5682544517
2020-01-04 03:52:21,USER9165,3000,event2,71.4968271656
2020-01-04 07:10:16,USER3476,6000,event1,38.3271480651
2020-01-04 08:42:39,USER8582,1500,event3,66.8739707936
2020-01-04 08:46:52,USER4866,4000,event2,21.8992141989
2020-01-04 09:10:26,USER4943,0,event3,41.6999273155
2020-01-04 09:24:27,USER2645,9500,event1,35.5228361279
2020-01-04 10:41:47,USER1186,6500,event3,7.6288233564
2020-01-04 11:41:11,USER5988,8500,event1,29.1415903749
2020-01-04 16:42:49,USER3962,5500,event1,83.6183417268
2020-01-04 21:16:30,USER8102,6000,event3,43.0756620619
2020-01-04 21:37:53,USER6802,3000,event3,11.8872815964
2020-01-04 22:00:43,USER3870,6000,event3,75.7555157009
2020-01-05 02:31:43,USER2920,6000,event3,9.3734707685
2020-01-05 02:55:48,USER7905,7500,event2,10.2096259219
2020-01-05 03:33:12,USER5072,5000,event2,84.1109650991
2020-01-05 03:51:08,USER2074,8500,event3,21.8504769024
2020-01-05 05:04:32,USER8036,2500,event3,49.9210022196
2020-01-05 07:00:30,USER7032,2000,event1,86.4450121583
2020-01-05 08:20:55,USER7825,6500,event3,31.5873827025
2020-01-05 08:24:16,USER7398,2500,event3,5.0768212885
2020-01-05 08:45:10,USER7034,1000,event3,7.4194438263
2020-01-05 12:22:47,USER8481,7000,event2,50.6294958142
2020-01-05 13:02:49,USER6904,7500,event2,88.3489003327
2020-01-05 15:22:35,USER3054,8000,event3,56.203748494
2020-01-05 20:06:20,USER5182,1000,event3,21.7035636856
2020-01-05 20:52:21,USER3117,7500,event2,45.0366433937
2020-01-05 22:17:10,USER3861,3000,event3,77.8940923577
2020-01-06 00:10:41,USER3013,500,event3,28.5024003741
2020-01-06 02:28:01,USER6039,0,event3,26.4021069981
2020-01-06 02:55:09,USER0612,1000,event3,74.1387646185
2020-01-06 03:13:41,USER5249,500,event3,7.6825743565
2020-01-06 07:42:52,USER4201,3000,event3,76.5866874055
2020-01-06 08:51:03,USER0367,2000,event3,86.9828297178
2020-01-06 11:10:08,USER2158,4000,event3,41.9498958202
2020-01-06 11:30:48,USER3458,9000,event3,7.5126290147
2020-01-06 13:38:24,USER6523,3000,event3,32.2727215183
2020-01-06 14:21:36,USER6994,5500,event3,87.6708002334
2020-01-06 14:44:39,USER1294,6500,event3,42.4533986277
2020-01-06 14:54:08,USER4837,9500,event3,89.3049270163
2020-01-06 21:11:05,USER9955,8000,event1,11.3459243567
2020-01-06 21:55:45,USER6822,5500,event2,37.9636173927
2020-01-06 23:08:53,USER5629,3500,event3,-4.1847489476
2020-01-07 02:00:03,USER2175,8000,event3,87.1388868238
2020-01-07 03:15:52,USER8112,3500,event3,48.5326871582
2020-01-07 03:38:34,USER6333,8000,event3,20.8724991665
2020-01-07 04:26:40,USER9707,5500,event3,61.4657212792
2020-01-07 07:08:32,USER8872,5000,event1,11.3560526883
2020-01-07 08:18:55,USER2237,6000,event2,58.0095426631
2020-01-07 10:19:34,USER7298,2500,event3,7.0405346498
2020-01-07 11:14:27,USER9820,2000,event3,80.2373290324
2020-01-07 13:01:02,USER4195,0,event3,17.5270327006
2020-01-07 13:17:07,USER7619,6000,event2,6.3940336758
2020-01-07 15:16:14,USER1579,0,event3,36.8170912803
2020-01-07 17:22:32,USER5674,5500,event3,70.341392651
2020-01-07 17:24:32,USER3511,9500,event2,67.6242310803
2020-01-07 22:24:56,USER0442,8000,event2,82.9439037171
2020-01-08 01:15:58,USER0500,8500,event3,64.3034313227
